city,event_type,day_of_week,price,marketing_budget,venue_capacity,temperature,is_raining,attendance
Bhopal,Music Concert,0,4861,96184,14317,22,0,9206
Gwalior,Tech Meetup,2,448,82572,245,18,0,84
Gwalior,Food Festival,2,735,43302,1128,37,0,330
Indore,Religious/Cultural,5,179,76232,196,35,0,196
Gwalior,Cricket Screening,6,591,65436,221,39,0,221
Ujjain,Food Festival,5,739,83425,1171,23,0,578
Indore,Religious/Cultural,4,640,75554,74,15,0,74
Rewa,Food Festival,2,416,71931,1135,26,0,961
Ujjain,Food Festival,4,498,58426,1242,20,0,773
Jabalpur,Cricket Screening,1,887,2706,171,34,0,78
Indore,Religious/Cultural,2,425,99368,115,38,0,115
Bhopal,Standup Comedy,2,961,62766,216,18,0,216
Jabalpur,Cricket Screening,5,535,2305,222,38,0,123
Jabalpur,Food Festival,6,103,10118,1802,23,0,1479
Bhopal,Tech Meetup,3,340,86317,230,42,0,60
Jabalpur,Music Concert,5,1259,29982,5337,28,0,2757
Jabalpur,Music Concert,6,1965,30895,12269,29,0,7266
Rewa,Tech Meetup,2,163,52040,125,24,0,125
Indore,Music Concert,1,3440,64368,9734,42,0,2846
Indore,Music Concert,4,1997,48809,14634,25,0,10821
Indore,Tech Meetup,1,495,50170,144,17,0,67
Jabalpur,Music Concert,6,2222,44516,3124,27,0,2495
Jabalpur,Cricket Screening,0,231,2160,269,41,0,27
Gwalior,Music Concert,5,936,9067,3485,44,0,1480
Rewa,Cricket Screening,4,382,73015,239,21,0,239
Satna,Music Concert,5,2433,80311,3042,17,0,1856
Rewa,Cricket Screening,4,714,57266,165,45,0,144
Gwalior,Music Concert,1,3723,240,7926,28,0,4259
Gwalior,Music Concert,1,1414,55351,3511,42,0,1603
Satna,Music Concert,5,1793,21019,7836,24,0,6242
Indore,Music Concert,1,2508,40596,2855,24,0,1351
Jabalpur,Religious/Cultural,6,557,76037,220,16,0,220
Bhopal,Standup Comedy,0,181,21668,167,29,0,126
Satna,Cricket Screening,2,786,99935,108,17,0,108
Ujjain,Music Concert,3,3466,33741,11762,42,0,4487
Satna,Cricket Screening,1,259,42218,482,22,0,303
Bhopal,Food Festival,6,63,33363,3144,37,0,2178
Ujjain,Religious/Cultural,4,676,60253,230,30,0,230
Satna,Tech Meetup,1,121,64963,276,17,0,276
Ujjain,Music Concert,6,3217,5728,4865,43,0,1549
Rewa,Standup Comedy,4,442,5108,93,38,0,59
Rewa,Cricket Screening,4,345,73004,245,38,0,245
Jabalpur,Music Concert,1,2280,80138,9522,37,0,5437
Jabalpur,Music Concert,5,3630,54966,3414,16,0,2506
Ujjain,Religious/Cultural,3,260,4514,290,41,0,67
Satna,Music Concert,2,751,7512,10052,34,0,5176
Jabalpur,Cricket Screening,4,583,10936,397,31,0,188
Jabalpur,Cricket Screening,2,179,78719,320,44,0,320
Indore,Cricket Screening,1,136,37812,480,39,0,458
Indore,Music Concert,1,1424,85259,6655,26,0,5403
Satna,Music Concert,3,4728,46538,5700,28,0,2367
Jabalpur,Religious/Cultural,2,689,76859,225,37,0,225
Gwalior,Standup Comedy,5,356,54806,177,40,0,177
Bhopal,Standup Comedy,0,298,22722,132,43,0,119
Indore,Tech Meetup,0,112,43966,108,25,0,108
Bhopal,Music Concert,2,2123,58659,11463,24,0,6255
Gwalior,Music Concert,5,1312,82842,4291,19,0,3419
Indore,Standup Comedy,4,754,87663,233,41,0,225
Bhopal,Music Concert,0,1694,86815,4329,31,0,2047
Bhopal,Food Festival,3,707,69435,3660,24,0,1014
Satna,Music Concert,0,1723,97759,2411,41,0,943
Ujjain,Religious/Cultural,6,117,13915,50,32,0,50
Gwalior,Tech Meetup,0,217,28033,203,19,0,162
Indore,Standup Comedy,5,532,54298,149,29,0,149
Satna,Food Festival,4,105,56567,4079,16,0,2375
Bhopal,Music Concert,6,2748,75891,5613,42,0,3158
Gwalior,Standup Comedy,4,56,21183,194,37,0,103
Indore,Music Concert,3,2758,69390,2942,24,0,2385
Ujjain,Standup Comedy,0,693,28200,181,37,0,132
Jabalpur,Cricket Screening,4,190,50801,200,37,0,200
Indore,Cricket Screening,2,121,91767,402,38,0,402
Indore,Cricket Screening,1,548,71445,274,25,0,274
Jabalpur,Standup Comedy,3,154,1881,114,37,0,45
Ujjain,Food Festival,4,704,89415,1683,44,0,479
Ujjain,Music Concert,0,1769,83519,4524,37,0,1768
Indore,Music Concert,4,1677,4799,14281,34,0,10158
Gwalior,Tech Meetup,0,155,80519,258,45,0,174
Rewa,Religious/Cultural,3,994,79011,235,39,0,235
Gwalior,Music Concert,5,3051,33994,11204,37,0,6117
Bhopal,Religious/Cultural,2,331,69470,59,16,0,59
Ujjain,Music Concert,0,3281,38210,14216,31,0,6733
Gwalior,Food Festival,6,658,36903,4850,26,0,1353
Rewa,Music Concert,4,4929,14674,12377,34,0,6935
Rewa,Cricket Screening,0,143,28580,115,41,0,109
Ujjain,Religious/Cultural,5,203,53089,247,18,0,247
Gwalior,Religious/Cultural,4,75,58938,173,18,0,173
Satna,Cricket Screening,0,670,91048,195,17,0,195
Satna,Cricket Screening,0,624,68625,253,32,0,253
Gwalior,Tech Meetup,6,253,20359,155,42,0,60
Ujjain,Cricket Screening,2,434,42527,389,38,0,289
Ujjain,Cricket Screening,6,562,44993,179,17,0,179
Satna,Food Festival,5,697,78309,4283,18,0,1804
Bhopal,Religious/Cultural,4,539,94238,104,42,0,104
Satna,Standup Comedy,3,606,60344,222,28,0,222
Gwalior,Standup Comedy,0,443,79390,204,18,0,204
Ujjain,Music Concert,6,2525,95865,7742,30,0,6658
Satna,Music Concert,5,2196,25010,6181,20,0,4396
Jabalpur,Cricket Screening,2,966,88030,254,27,0,254
Bhopal,Music Concert,6,983,92558,8274,17,0,4947
Rewa,Music Concert,1,2479,64030,7539,34,0,2836
Satna,Standup Comedy,1,793,97093,243,23,0,243
Bhopal,Religious/Cultural,4,467,23369,226,40,0,226
Satna,Music Concert,0,3905,77020,6814,19,0,4670
Satna,Standup Comedy,0,118,48749,114,30,0,114
Gwalior,Standup Comedy,0,552,1269,212,20,0,52
Bhopal,Music Concert,3,3041,28858,7102,37,0,5858
Ujjain,Food Festival,1,769,70667,2601,43,0,529
Ujjain,Music Concert,3,1306,93832,11035,31,0,5782
Gwalior,Tech Meetup,3,45,9132,182,20,0,67
Jabalpur,Music Concert,6,3957,48968,5572,34,0,3744
Indore,Religious/Cultural,4,813,99196,119,34,0,119
Satna,Standup Comedy,0,160,77817,160,43,0,160
Indore,Tech Meetup,2,424,17608,208,32,0,21
Jabalpur,Religious/Cultural,4,515,94359,290,24,0,290
Rewa,Standup Comedy,0,335,98829,125,43,0,125
Ujjain,Standup Comedy,1,97,83400,281,21,0,281
Satna,Music Concert,2,1861,74414,4656,24,0,3559
Jabalpur,Standup Comedy,5,237,65330,162,15,0,162
Jabalpur,Standup Comedy,2,405,31007,96,36,0,96
Gwalior,Standup Comedy,4,53,93658,196,21,0,196
